00:12:42.768 INFO  Minecraft: SkyBlock is currently full and only available to VIP and above! You can access the store at https://store.hypixel.net 
00:12:44.798 INFO  Minecraft: Unknown command. Type "help" for help. 
00:12:46.772 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: e z 7m ice spray flip lmao 
00:12:49.016 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce has invited you to join their party!
You have 60 seconds to accept. Click here to join!
----------------------------- 
00:12:49.298 INFO  Minecraft: ----------------------------- 
00:12:49.308 INFO  Minecraft: You have joined [VIP] Chicken_Sxuce's party! 
00:12:49.311 INFO  Minecraft: ----------------------------- 
00:12:50.771 INFO  Minecraft: Party > SealBot: Hello Chicken_Sxuce, I will leave the party in 10 seconds so other people can use me. Thank You! 
00:12:51.764 INFO  Minecraft: Party > SealBot: Next time you party me: I do not accept your party it is most likely because someone else hasn't finished with me, just try again in 5-15 seconds. 
00:12:52.260 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce entered The Catacombs, Floor VII!
----------------------------- 
00:12:52.785 INFO  Minecraft: Party > SealBot: [INFO] Auto Leave time was changed to 10 seconds to prevent party clutter | A new leave function is under development. 
00:12:55.559 INFO  Minecraft:  >>> [MVP++] ohdoge joined the lobby! <<< 
00:12:58.026 INFO  Minecraft: ----------------------------- 
00:12:58.028 INFO  Minecraft: [VIP] Chicken_Sxuce warped the party to a SkyBlock dungeon! 
00:12:58.034 INFO  Minecraft: Adventuring The Catacombs with 2/5 players on Floor VII! 
00:12:58.041 INFO  Minecraft: ----------------------------- 
00:12:59.275 INFO  Minecraft: ----------------------------- 
00:12:59.277 INFO  Minecraft: You left the party. 
00:12:59.278 INFO  Minecraft: ----------------------------- 
00:13:06.543 INFO  Minecraft: [MVP+] swerenof joined the lobby! 
00:13:06.553 INFO  Sending to skyblock. 
00:13:06.805 INFO  Minecraft: SkyBlock is currently full and only available to VIP and above! You can access the store at https://store.hypixel.net 
00:13:08.828 INFO  Minecraft: Unknown command. Type "help" for help. 
00:13:17.050 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: does anyone have over 25m and want to make 4m+ flip 
00:13:23.650 INFO  Minecraft: Guild > FabledLivid left. 
00:13:24.005 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: maybe 
00:13:24.497 INFO  Minecraft: Guild > skymaze_ joined. 
00:13:26.122 INFO  Minecraft: Guild > [VIP+] OwOPingu [F]: what is it? 
00:13:26.478 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: me 
00:13:30.364 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ok so 
00:13:31.220 INFO  Minecraft: [MVP+] CookieSun joined the lobby! 
00:13:31.223 INFO  Sending to skyblock. 
00:13:31.475 INFO  Minecraft: SkyBlock is currently full and only available to VIP and above! You can access the store at https://store.hypixel.net 
00:13:33.502 INFO  Minecraft: Unknown command. Type "help" for help. 
00:13:40.789 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: we are gonna need like 200m for this 
00:13:42.931 INFO  Minecraft:  >>> [MVP++] EBoy1 joined the lobby! <<< 
00:13:45.456 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: i have 41m 
00:13:45.529 INFO  Minecraft: [MVP+] KiteMaan joined the lobby! 
00:13:45.534 INFO  Sending to skyblock. 
00:13:45.782 INFO  Minecraft: SkyBlock is currently full and only available to VIP and above! You can access the store at https://store.hypixel.net 
00:13:47.819 INFO  Minecraft: Unknown command. Type "help" for help. 
00:13:48.443 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:13:48.735 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: basically 
00:13:49.424 INFO  Logged in. 
00:13:49.473 INFO  Minecraft: You are AFK. Move around to return from AFK. 
00:13:51.429 INFO  Sending to skyblock. 
00:13:51.673 INFO  Minecraft: Cannot join SkyBlock for a moment! (Queue join in cooldown) 
00:13:52.937 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: oooo buy all ice sprays 
00:13:53.003 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: we can shift the ice spray market 
00:13:54.663 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: ight im out 
00:13:55.664 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ye 
00:13:55.868 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: 200m is like my whole nw 
00:13:58.578 INFO  Minecraft: Guild > [VIP+] OwOPingu [F]: what happeneds if it doesnt work out? 
00:13:59.148 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: up till 30m 
00:14:02.143 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: then sell for 30m 
00:14:12.267 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: i mean thats some good market manipulation 
00:14:17.173 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: nyan 
00:14:22.036 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ? 
00:14:23.263 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: ah flipping on another level 
00:14:30.739 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: thats different 
00:14:31.724 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: it is a skyrocketing market rn 
00:14:38.096 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: we should make like a group where we buy whole market for stuff that wont cost to much and all 
00:14:39.343 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: but its gonna crash soon 
00:14:39.790 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: make money 
00:14:45.862 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: hes marketing manipulating 
00:14:55.952 INFO  Minecraft: Guild > FabledLivid joined. 
00:15:05.508 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ooh ive got one 
00:15:06.982 INFO  Minecraft: Guild > [VIP+] OwOPingu [F]: it looks like prices are pretty high rn 
00:15:10.739 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: potato talis 
00:15:12.483 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: i honestly dont care what its called 
00:15:13.813 INFO  Minecraft: Guild > FabledLivid [M]: what 
00:15:24.108 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: we can buy all ones for 6m and buy like the first page 
00:15:25.186 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: so 
00:15:29.301 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: then sell for 7.3m 
00:15:36.967 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: no 
00:15:40.949 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: thats bad 
00:15:43.192 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ye nvm 
00:15:47.242 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: i didnt realize 
00:15:48.508 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:15:50.532 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: how fast the spike was 
00:16:06.242 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ooh ive got an idea 
00:16:29.876 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: bro this chat fr looks like wsb reddit 
00:16:35.948 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce has invited you to join their party!
You have 60 seconds to accept. Click here to join!
----------------------------- 
00:16:36.208 INFO  Minecraft: ----------------------------- 
00:16:36.231 INFO  Minecraft: You have joined [VIP] Chicken_Sxuce's party! 
00:16:36.243 INFO  Minecraft: ----------------------------- 
00:16:37.777 INFO  Minecraft: Party > SealBot: Hello Chicken_Sxuce, I will leave the party in 10 seconds so other people can use me. Thank You! 
00:16:38.079 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce entered The Catacombs, Floor VII!
----------------------------- 
00:16:38.809 INFO  Minecraft: Party > SealBot: Next time you party me: I do not accept your party it is most likely because someone else hasn't finished with me, just try again in 5-15 seconds. 
00:16:39.494 INFO  Minecraft: Guild > [MVP++] Loudbook [US]: 18k xp from an f6 
00:16:40.226 INFO  Minecraft: Party > SealBot: [INFO] Auto Leave time was changed to 10 seconds to prevent party clutter | A new leave function is under development. 
00:16:41.139 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: wsb reddit? 
00:16:44.338 INFO  Minecraft: ----------------------------- 
00:16:44.339 INFO  Minecraft: [VIP] Chicken_Sxuce warped the party to a SkyBlock dungeon! 
00:16:44.341 INFO  Minecraft: Exploring The Catacombs with 2/5 players on Floor VII! 
00:16:44.342 INFO  Minecraft: ----------------------------- 
00:16:46.202 INFO  Minecraft: ----------------------------- 
00:16:46.203 INFO  Minecraft: You left the party. 
00:16:46.205 INFO  Minecraft: ----------------------------- 
00:16:46.419 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: wallstreet bets 
00:16:55.928 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: yknow the guys who crashed the gamestop stock market 
00:17:01.823 INFO  Minecraft: Guild > letmerunitdown joined. 
00:17:05.183 INFO  Minecraft: Guild > FabledLivid [M]: ? 
00:17:07.545 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: i bought a clean rice spray for 24m, slapped UW5 on it, put it up for 29m 
00:17:14.231 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: rice spray 
00:17:17.836 INFO  Minecraft: Guild > FabledLivid [M]: wiat 
00:17:18.527 INFO  Minecraft: Guild > [VIP+] OwOPingu [F]: rice noice 
00:17:19.807 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: ah res 
00:17:20.856 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: yes 
00:17:24.416 INFO  Minecraft: Guild > FabledLivid [M]: ice spray is 25m ow? 
00:17:26.042 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: rice spray 
00:17:27.465 INFO  Minecraft: Guild > FabledLivid [M]: now?* 
00:17:35.832 INFO  Minecraft: Guild > letmerunitdown left. 
00:17:38.905 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: if anyone has 50m 
00:17:45.237 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: u can buy lowest 2 sprays 
00:17:48.497 INFO  Minecraft: You tipped 2 players in 1 game! 
00:17:50.153 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: i have like 11m 
00:17:51.610 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: and put them each up 1m more 
00:18:32.444 INFO  Minecraft: Friend > iqss joined. 
00:18:42.825 INFO  Minecraft: Guild > Hercules_RB joined. 
00:18:55.818 INFO  Minecraft: Guild > Hercules_RB left. 
00:18:58.468 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: if this shi works its 4.5m profit 
00:19:01.166 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: if my spray sells 
00:19:05.442 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: which i think it will 
00:19:36.449 INFO  Minecraft: Friend > iqss left. 
00:19:48.485 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:19:49.498 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce has invited you to join their party!
You have 60 seconds to accept. Click here to join!
----------------------------- 
00:19:49.740 INFO  Minecraft: ----------------------------- 
00:19:49.753 INFO  Minecraft: You have joined [VIP] Chicken_Sxuce's party! 
00:19:49.754 INFO  Minecraft: ----------------------------- 
00:19:51.307 INFO  Minecraft: Party > SealBot: Hello Chicken_Sxuce, I will leave the party in 10 seconds so other people can use me. Thank You! 
00:19:51.891 INFO  Minecraft: -----------------------------
[VIP] Chicken_Sxuce entered The Catacombs, Floor VII!
----------------------------- 
00:19:52.282 INFO  Minecraft: Party > SealBot: Next time you party me: I do not accept your party it is most likely because someone else hasn't finished with me, just try again in 5-15 seconds. 
00:19:53.272 INFO  Minecraft: Party > SealBot: [INFO] Auto Leave time was changed to 10 seconds to prevent party clutter | A new leave function is under development. 
00:19:55.940 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: anyone duos normal? 
00:19:57.934 INFO  Minecraft: ----------------------------- 
00:19:57.936 INFO  Minecraft: [VIP] Chicken_Sxuce warped the party to a SkyBlock dungeon! 
00:19:57.942 INFO  Minecraft: Plundering The Catacombs with 2/5 players on Floor VII! 
00:19:57.943 INFO  Minecraft: ----------------------------- 
00:19:59.749 INFO  Minecraft: ----------------------------- 
00:19:59.775 INFO  Minecraft: You left the party. 
00:19:59.790 INFO  Minecraft: ----------------------------- 
00:20:06.474 INFO  Minecraft: Guild > [MVP+] yKxshi [M]: me 
00:20:09.556 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: im sure sealbot can do 
00:20:18.956 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: wdym deos? 
00:20:22.987 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: duos 
00:20:24.736 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: ... 
00:20:27.508 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: ye wyd 
00:20:30.643 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: wydm 
00:20:31.100 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: lmao 
00:20:38.052 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: bw? 
00:20:58.679 INFO  Minecraft: Guild > JonLaw099 joined. 
00:21:29.439 INFO  Minecraft: Guild > [VIP+] GTpotato [M]: 850k 
00:21:33.309 INFO  Minecraft: Guild > FabledLivid [M]: wh 
00:21:48.481 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:23:07.844 INFO  Minecraft: Guild > xblaster21 joined. 
00:23:11.262 INFO  Minecraft: Guild > [MVP+] EgirlSealUwU [F]: bro this guy... hes blaming the party for failing blaze when hes the one who failed it 
00:23:12.336 INFO  Minecraft: Guild > [MVP+] EgirlSealUwU [F]: ok 
00:23:23.799 INFO  Discord: [guild-chat] Helper | TinyBrainSeal: rice spray lol 
00:23:24.064 INFO  Minecraft: Guild > SealBot [LS]: Helper| TinyBrainSeal» rice spray lol 
00:23:30.122 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: som1 check my ah 
00:23:32.024 INFO  Minecraft: Guild > [MVP+] __NyanCat__ [F]: if ice sold 
00:23:34.415 INFO  Discord: [guild-chat] Helper | TinyBrainSeal: lice spray 
00:23:34.668 INFO  Minecraft: You cannot say the same message twice! 
00:23:48.482 INFO  Minecraft: You already tipped everyone that has boosters active, so there isn't anybody to be tipped right now! 
00:23:55.183 INFO  Discord: [guild-chat] Member | Megatorn: pepper sprat 
00:23:55.467 INFO  Minecraft: Guild > SealBot [LS]: Member| Megatorn» pepper sprat 
00:23:56.934 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: it hasnt 
00:23:58.884 INFO  Discord: [guild-chat] Member | Megatorn: spray* 
00:23:59.129 INFO  Minecraft: Guild > SealBot [LS]: Member| Megatorn» spray* 
00:24:19.122 INFO  Minecraft: Guild > [MVP+] Za1bot [M]: pepper spray wand 
