07:31:00.496 INFO  Minecraft: Guild > SealEaterV [M]: GM| OwOSeal» owo 
07:31:14.917 INFO  Minecraft: Guild > [VIP] oworeaper [M]: YES TYYY 
07:31:15.340 INFO  Minecraft: Guild > [MVP] The4p1 [M]: ORA ORA ORA ORA 
07:31:19.744 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: dont thank me thank <@!670428888907907073> 
07:31:20.027 INFO  Minecraft: Guild > SealEaterV [M]: Dev/Mod| BamBoozledMC» dont thank me thank <@!670428888907907073> 
07:31:25.916 INFO  Discord: [💬→︱guild-chat] GM | OwOSeal: oh 
07:31:27.472 INFO  Minecraft: Guild > SealEaterV [M]: GM| OwOSeal» oh 
07:31:27.707 INFO  Minecraft: Guild > [VIP] oworeaper [M]: ?? 
07:31:39.596 INFO  Minecraft: Guild > [MVP] TimySeal [M]: I found rat 
07:31:40.589 INFO  Minecraft: Guild > The4p1 joined. 
07:31:42.178 INFO  Minecraft: Guild > The4p1 left. 
07:31:43.008 INFO  Minecraft: Guild > [MVP] TimySeal [M]: how kill 
07:31:43.545 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: I found 3 
07:31:44.792 INFO  Minecraft: Guild > [MVP+] c_RaMMikKs__ [M]: where?? 
07:31:46.441 INFO  Discord: [💬→︱guild-chat] GM | OwOSeal: Thanks <@!670428888907907073> 
07:31:46.798 INFO  Minecraft: Guild > SealEaterV [M]: GM| OwOSeal» Thanks <@!670428888907907073> 
07:31:49.612 INFO  Minecraft: Guild > [MVP++] Aesphea [M]: can these rats start moving 
07:31:50.013 INFO  Minecraft: Guild > [MVP++] SeaDoggoOwO [LS]: whos <@1670428888907907073> 
07:31:55.449 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: RAT SO FAST AT NIGHT 
07:31:56.020 INFO  Minecraft: Guild > The4p1 left. 
07:31:58.319 INFO  Minecraft: Guild > [MVP+] LionyLev [F]: when do rats start moving? 
